cc_num,index,first,last,sex,street,city,state,zip,lat,long,city_pop,job,dob
60416207185,1017,Mary,Diaz,F,9886 Anita Drive,Fort Washakie,WY,82514.0,43.0048,-108.8964,1645.0,Information systems manager,"Feb 17, 1986"
60423098130,516,Jason,Gray,M,875 Amy Point,Amorita,OK,73719.0,36.9412,-98.2458,83.0,BARRISTER'S CLERK,"Jul 28, 1958"
60427851591,586,Bradley,Martinez,M,3426 David Divide Suite 717,Burns Flat,OK,73624.0,35.3492,-99.188,2142.0,POLITICIAN'S ASSISTANT,30-Jun-1976
60490596305,984,Karen,Johnson,F,4349 Anna Flat Suite 214,Haynes,AR,72341.0,34.8838,-90.7666,222.0,"Programmer, applications",19-May-1963
60495593109,53,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210.0,32.7699,-96.743,1263321.0,Television camera operator,24-Nov-1942
501802953619,252,Robert,Flores,M,3277 Fields Meadows Apt. 790,Greenview,CA,96037.0,41.5403,-122.9366,308.0,Call centre manager,20-Sep-1958
501828204849,525,Sandra,Davies,F,31954 Eugene Lane Suite 572,Dexter,KS,67038.0,37.1641,-96.6917,602.0,"BUYER, INDUSTRIAL",26/10/1958
501831082224,392,Corey,Jones,M,709 George Underpass Apt. 080,West Decatur,PA,16878.0,40.9493,-78.3129,1762.0,ARMED FORCES LOGISTICS/SUPPORT/ADMINISTRATIVE OFFICER,04-May-1962
501882822387,121,Melissa,Phillips,F,5069 Scott Pass Apt. 654,Meadville,MS,39653.0,31.4285,-90.8578,2799.0,"Therapist, horticultural","Jan 21, 1961"
501899453424,607,Jessica,Dominguez,F,06393 Nancy Parkways Suite 855,Gadsden,AL,35903.0,33.9845,-85.9077,67082.0,CERAMICS DESIGNER,08/01/1970
502012776709,119,Sherry,Martinez,F,144 Yu Locks Apt. 754,Garrattsville,NY,13342.0,42.6315,-75.1866,165.0,Naval architect,20-Sep-1945
502038091380,649,Kurt,Peters,M,7290 Ashlee Keys,Kissee Mills,MO,65680.0,36.6704,-93.0377,1201.0,"ENGINEER, AGRICULTURAL",18/03/1980
502049568400,899,Daniel,Melton,M,6157 Nichols Mews,Marion,CT,6444.0,41.7918,-72.7188,370.0,HEALTH SERVICE MANAGER,"Feb 13, 1962"
503848303379,825,Gregory,Wallace,M,27203 Darrell Landing,Saint James City,FL,33956.0,26.529,-82.0916,3776.0,Sport and exercise psychologist,"Sep 12, 1976"
503874407318,349,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248.0,29.5894,-98.5201,1595797.0,Exhibition designer,28-Dec-1975
561942763351,475,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036.0,38.9087,-77.0414,601723.0,Prison officer,14/03/1986
565399283797,1375,Anthony,Allen,M,6993 Carr Lodge Apt. 311,Jordan Valley,OR,97910.0,42.8801,-117.281,641.0,Economist,"Nov 24, 1993"
567868110212,1587,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007.0,29.7736,-95.4034,2906700.0,"COPYWRITER, ADVERTISING","Dec 16, 1984"
568279015842,832,Micheal,Hernandez,M,6139 Mark Rapid Apt. 651,Christine,ND,58015.0,46.5522,-96.7909,291.0,TELEVISION FLOOR MANAGER,01/05/1991
571365235126,85,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"EXHIBITIONS OFFICER, MUSEUM/GALLERY","Jul 12, 1995"
571465035400,75,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514.0,43.0048,-108.8964,1645.0,Freight forwarder,26-Feb-1976
571844099986,296,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202.0,38.2507,-85.7476,736284.0,Engineering geologist,02/04/1952
573860193545,708,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091.0,42.0765,-87.7246,27020.0,TRADE MARK ATTORNEY,23-Jul-1986
577588686219,1788,James,Strickland,M,25454 Leonard Lake,Spring Church,PA,15686.0,40.6153,-79.4545,972.0,PUBLIC RELATIONS ACCOUNT EXECUTIVE,"Oct 23, 1997"
580954173374,788,Jessica,Benitez,F,31281 Thomas Inlet,Montrose,NY,10548.0,41.2496,-73.9446,3487.0,RACE RELATIONS OFFICER,13-Jan-1960
581293083266,611,William,Thomas,M,39227 Mcpherson Shoals,Lahoma,OK,73754.0,36.385,-98.0727,1078.0,Podiatrist,"Oct 06, 1989"
581508178315,578,Michael,Vargas,M,933 Martin Rapids,Desdemona,TX,76445.0,32.2819,-98.5673,407.0,CLOTHING/TEXTILE TECHNOLOGIST,08/08/1978
581686439828,240,Larry,House,M,911 Sabrina Trafficway,Cochranton,PA,16314.0,41.5205,-80.0573,5507.0,Retail merchandiser,28-Jul-1973
583699482621,1383,Jennifer,Jones,F,5572 Kelly Plains Apt. 952,Waupaca,WI,54981.0,44.3481,-89.1101,15426.0,"ENGINEER, CIVIL (CONTRACTING)",22-Jul-1936
584673555952,798,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,58531.0,47.5196,-101.2332,307.0,Make,13-Aug-1930
630412733309,32,Heather,Stanton,F,445 Jerry Lights Apt. 081,Republic,MI,49879.0,46.368,-87.9938,1038.0,ARMED FORCES TRAINING AND EDUCATION OFFICER,22/04/1964
630423337322,1,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160.0,48.8878,-118.2105,149.0,Special educational needs teacher,21-Jun-1978
630424987505,667,Jennifer,Black,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292.0,39.1505,-79.503,836.0,FORENSIC PSYCHOLOGIST,"Aug 29, 1981"
630425673344,510,Bryan,Miller,M,411 Laurie Fords,Cass,WV,24927.0,38.388000000000005,-79.9906,365.0,SPECIAL EFFECTS ARTIST,14-Mar-1970
630441765090,23,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857.0,31.9571,-98.9656,1791.0,CORPORATE INVESTMENT BANKER,"Jul 26, 1965"
